Title,Description,Priority,Labels,Project,Milestone
"Run a real Stripe test checkout end-to-end (connected account, embedded checkout, Shippo rates); document it; fix what breaks","Milestone: M1 — Web checkout: verified & tested

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"test,payments,storefront",Payments & billing,M1
Integration test: `checkout-completed` worker — order + shipping + payment + items + inventory decrement + cart delete + idempotency,"Milestone: M1 — Web checkout: verified & tested

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"test,payments,api",Payments & billing,M1
"Integration test: checkout session creation — server-authoritative line items from cart, connected account, shipping options","Milestone: M1 — Web checkout: verified & tested

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"test,payments,api",Payments & billing,M1
"Integration test: `checkout.session.completed` webhook — signature, `payment_status` guard, idempotency on `stripeCheckoutSessionId`, enqueue","Milestone: M1 — Web checkout: verified & tested

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"test,payments,api",Payments & billing,M1
Handle `checkout.session` expired + async payment failed (webhook branch + storefront return-page states),"Milestone: M1 — Web checkout: verified & tested

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,payments,storefront",Payments & billing,M1
"Reconcile ""payment succeeded but order write failed"" — recovery path + `failed_orders` surfacing (with Observability 7)","Milestone: M1 — Web checkout: verified & tested

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,payments,api",Payments & billing,M1
Idempotency key on checkout session creation (no duplicate sessions per cart),"Milestone: M1 — Web checkout: verified & tested

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,payments,api",Payments & billing,M1
Schema: `order_status` enum + column + backfill (`paid`) + `order_events` table,"Milestone: M2 — Order lifecycle: status, cancel, refund

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,payments,api,db",Payments & billing,M2
admin-api: order status-transition endpoint + allowed-transition rules,"Milestone: M2 — Order lifecycle: status, cancel, refund

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,payments,api",Payments & billing,M2
admin-web: order status badge + event timeline on the order detail page,"Milestone: M2 — Order lifecycle: status, cancel, refund

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,payments,admin",Payments & billing,M2
