Title,Description,Priority,Labels,Project,Milestone
Run the POS app on a real device end-to-end; log every bug found,"Milestone: M1 — Runs end-to-end (verified)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"test,pos",POS in-store operations,M1
Triage & fix the bugs from the first device run,"Milestone: M1 — Runs end-to-end (verified)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"bug,pos",POS in-store operations,M1
Set up the EAS dev-build + install loop; document it (README is Expo boilerplate),"Milestone: M1 — Runs end-to-end (verified)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"chore,pos",POS in-store operations,M1
"pos-api: unit tests for order creation — pricing, cash change, inventory movement, payment row, tx rollback","Milestone: M1 — Runs end-to-end (verified)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"test,pos,api",POS in-store operations,M1
"pos-api: tests for catalog — search, cursor pagination, scan-by-barcode, variant stock","Milestone: M1 — Runs end-to-end (verified)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"test,pos,api",POS in-store operations,M1
"pos-api: tests for pairing — code redemption, expiry, single-use, revoked-device rejection","Milestone: M1 — Runs end-to-end (verified)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"test,pos,api",POS in-store operations,M1
Show the paired session (account / location / device) in a header or status bar,"Milestone: M1 — Runs end-to-end (verified)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,pos",POS in-store operations,M1
"Settings screen scaffold, navigable from the home screen","Milestone: M1 — Runs end-to-end (verified)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,pos",POS in-store operations,M1
"""Unpair this device"" action in Settings — wire `unpair()` / `refreshSession()`","Milestone: M1 — Runs end-to-end (verified)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,pos",POS in-store operations,M1
Error boundary + consistent loading / error / empty states across screens,"Milestone: M1 — Runs end-to-end (verified)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,pos",POS in-store operations,M1
Add the Stripe Terminal RN SDK + native config for dev and prod builds,"Milestone: M2 — Card payments (app-side Terminal UX)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,payments",POS in-store operations,M2
Reader discovery & connection screen,"Milestone: M2 — Card payments (app-side Terminal UX)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,payments",POS in-store operations,M2
Persist the selected reader per device (secure-store),"Milestone: M2 — Card payments (app-side Terminal UX)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,payments",POS in-store operations,M2
Reader connection-status indicator in the header,"Milestone: M2 — Card payments (app-side Terminal UX)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,payments",POS in-store operations,M2
"Collect-payment flow in checkout — call the pos-api PaymentIntent endpoints; replace the ""take payment on the terminal"" stub","Milestone: M2 — Card payments (app-side Terminal UX)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,payments",POS in-store operations,M2
Decline / cancel / network-drop / retry handling with clear UI,"Milestone: M2 — Card payments (app-side Terminal UX)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,payments",POS in-store operations,M2
"On success, route to the receipt screen with the captured payment","Milestone: M2 — Card payments (app-side Terminal UX)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,payments",POS in-store operations,M2
End-to-end test: set up a test reader + run a test card sale + a test card refund,"Milestone: M2 — Card payments (app-side Terminal UX)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"test,pos,payments",POS in-store operations,M2
Client-generated idempotency key on `POST /pos/orders`; server-side dedupe,"Milestone: M3 — Sale reliability & offline

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos,api",POS in-store operations,M3
Offline sale queue — persist completed-but-unsent sales to AsyncStorage,"Milestone: M3 — Sale reliability & offline

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos",POS in-store operations,M3
Offline sale queue — background retry + duplicate handling on reconnect,"Milestone: M3 — Sale reliability & offline

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",Medium,"feature,pos",POS in-store operations,M3
