Title,Description,Priority,Labels,Project,Milestone
Regenerate `routeTree.gen.ts`; delete stale `src/routes/index.tsx` + `src/routes/inventory.tsx` + top-level dupes,"Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"bug,admin,tech-debt",Merchant dashboard & onboarding,M1
"Fix `vite.config.ts` port (says 3001, actually 5000)","Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"chore,admin",Merchant dashboard & onboarding,M1
Remove the commented-out pre-SDK block in `lib/admin-api-client.ts` + `console.log`s in `__root.tsx`,"Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"tech-debt,admin",Merchant dashboard & onboarding,M1
Router-level `pendingComponent` (skeletons) on route groups,"Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin",Merchant dashboard & onboarding,M1
Router-level `errorComponent` + shared error boundary,"Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin",Merchant dashboard & onboarding,M1
One mutation-error surfacing pattern (toast + inline) applied across feature hooks,"Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin",Merchant dashboard & onboarding,M1
admin-api: paginate + search `GET /customers`,"Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin,api",Merchant dashboard & onboarding,M1
admin-api: paginate + search + status filter `GET /products`,"Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin,api",Merchant dashboard & onboarding,M1
admin-api: paginate + search `GET /users`,"Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin,api",Merchant dashboard & onboarding,M1
admin-api: paginate + filter `GET /inventory` + `GET /inventory/movements`,"Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin,api",Merchant dashboard & onboarding,M1
"admin-api: paginate `GET /locations`, `/brands`, `/categories`, `/roles`, `/permissions`","Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin,api",Merchant dashboard & onboarding,M1
"admin-web: wire search + pagination on customers, products, users lists","Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin",Merchant dashboard & onboarding,M1
"admin-web: wire search + pagination on inventory, locations, brands, categories, roles","Milestone: M1 — Fix what's half-built

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin",Merchant dashboard & onboarding,M1
admin-api: `GET /onboarding/status` computing checklist state,"Milestone: M2 — Self-serve onboarding

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin,api",Merchant dashboard & onboarding,M2
Dashboard onboarding-checklist component (Stripe / location / product / app key),"Milestone: M2 — Self-serve onboarding

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin",Merchant dashboard & onboarding,M2
"""Connect Stripe"" step deep-links into the existing Payments onboarding + reflects completion","Milestone: M2 — Self-serve onboarding

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin",Merchant dashboard & onboarding,M2
"""Add your first product"" guided empty-state CTA on Products","Milestone: M2 — Self-serve onboarding

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin",Merchant dashboard & onboarding,M2
admin-api: API-key create endpoint (`account_api_keys`),"Milestone: M2 — Self-serve onboarding

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin,api",Merchant dashboard & onboarding,M2
admin-api: API-key revoke endpoint,"Milestone: M2 — Self-serve onboarding

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin,api",Merchant dashboard & onboarding,M2
admin-web: API-key create/revoke UI on Developers,"Milestone: M2 — Self-serve onboarding

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,admin",Merchant dashboard & onboarding,M2
