Title,Description,Priority,Labels,Project,Milestone
Fix `docker/shop-admin-api.Dockerfile` name + `COPY` paths (and any other renamed Dockerfile),"Milestone: M1 — Unbreak CI (post-rename)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"bug,infra,ci-cd",Production readiness,M1
"Fix `.github/workflows/ci.yml` — workspace names, test matrix, smoke-build matrix","Milestone: M1 — Unbreak CI (post-rename)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"bug,infra,ci-cd",Production readiness,M1
Fix `.github/workflows/cd.yml` app-name references (even while dormant),"Milestone: M1 — Unbreak CI (post-rename)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"bug,infra,ci-cd",Production readiness,M1
Fix `packages/admin-sdk` `generate` path → `apps/admin-api/openapi.json`,"Milestone: M1 — Unbreak CI (post-rename)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"bug,infra,sdk",Production readiness,M1
"Sweep `infra/terraform/**` for `shop-admin-*` → `admin-*` (modules, resources, tags, SSM keys)","Milestone: M1 — Unbreak CI (post-rename)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"bug,infra",Production readiness,M1
Fix `terraform.tfvars` `github_repo` → `noel-vega/ordersail`; `terraform plan` clean,"Milestone: M1 — Unbreak CI (post-rename)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"bug,infra",Production readiness,M1
Update `README.md` + `ARCHITECTURE.md` app names + ports,"Milestone: M1 — Unbreak CI (post-rename)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"chore,infra",Production readiness,M1
"Add `pos-api` to `ci.yml` (build, lint, test, smoke-build)","Milestone: M1 — Unbreak CI (post-rename)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,infra,ci-cd",Production readiness,M1
"Add `pos` (Expo) to `ci.yml` (lint, typecheck, `expo-doctor`)","Milestone: M1 — Unbreak CI (post-rename)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,infra,ci-cd",Production readiness,M1
Standalone `typecheck` job across all workspaces,"Milestone: M1 — Unbreak CI (post-rename)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"feature,infra,ci-cd",Production readiness,M1
Verify a green CI run on a PR to `main`,"Milestone: M1 — Unbreak CI (post-rename)

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"test,infra,ci-cd",Production readiness,M1
`.env.example` for `admin-api`,"Milestone: M2 — Local dev experience

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"chore,infra",Production readiness,M2
`.env.example` for `storefront-api`,"Milestone: M2 — Local dev experience

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"chore,infra",Production readiness,M2
`.env.example` for `worker`,"Milestone: M2 — Local dev experience

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"chore,infra",Production readiness,M2
`.env.example` for `admin-web` + `storefront-web`,"Milestone: M2 — Local dev experience

Seed issue from the launch backlog plan. Flesh out using the Feature/Bug template before starting.",High,"chore,infra",Production readiness,M2
